idEntraineur , FirstName , LastName , dob ,idCountry , idEntraineurPost
1,Jackson,Anderson,1976-04-05,1,1
2,Vito,Murray,1983-01-22,55,5
3,King,Borer,1969-04-28,68,3
4,Ira,Marks,1984-12-14,29,5
5,Tommy,Friesen,1961-12-03,37,5
6,Nubia,Prosacco,1958-05-13,25,4
7,Britt,Bergnaum,1955-05-28,1,1
8,Elvira,Luettgen,1966-04-02,59,4
9,Preston,Stehr,1974-10-25,13,4
10,Devon,VonRueden,1979-02-07,71,5
11,Hye,Schneider,1969-03-12,11,2
12,Elmer,O'Keefe,1982-11-13,26,5
13,Terresa,Dach,1979-05-24,1,1
14,Eric,Homenick,1984-07-02,44,6
15,Tyler,Heathcote,1966-01-28,72,4
16,Annett,Stiedemann,1974-02-05,40,1
17,Moshe,Sauer,1961-03-09,30,4
18,Milagro,Larkin,1982-01-03,27,4
19,Audra,Bogan,1964-09-05,1,1
20,Hosea,Walsh,1958-01-11,49,5
21,Lynelle,Kunze,1955-01-29,54,3
22,Colleen,Metz,1955-12-22,60,2
23,Antonia,Goldner,1972-03-16,70,2
24,Irving,Leuschke,1962-10-02,31,2
25,Erik,Ferry,1981-11-28,1,1
26,Kathyrn,Reinger,1965-04-23,19,6
27,Raye,Quitzon,1957-07-16,23,2
28,Carl,Willms,1954-03-03,16,4
29,Donnette,Hessel,1976-05-26,67,4
30,Emerald,Considine,1979-01-19,43,6
31,Carroll,Thiel,1958-06-15,1,1
32,Calvin,Gerlach,1982-09-11,70,2
33,Damien,Sawayn,1971-12-05,70,4
34,Hilario,Bogisich,1973-10-29,43,2
35,Foster,Homenick,1959-03-20,36,2
36,Neda,Klocko,1980-07-08,4,2
37,Ermelinda,Kshlerin,1962-05-12,1,1
38,Tomika,Heidenreich,1968-03-22,23,4
39,Dimple,Stiedemann,1956-09-08,28,3
40,Kandis,Treutel,1983-10-18,22,6
41,Dario,Douglas,1966-09-23,48,3
42,Lorraine,Hamill,1984-06-03,38,2
43,Cary,Ritchie,1975-11-11,1,1
44,Keven,Crist,1976-12-09,20,4
45,Ilana,Greenfelder,1963-08-05,68,5
46,Benton,Kassulke,1962-09-10,14,3
47,Alla,Glover,1970-05-30,15,6
48,Julianna,Corkery,1979-10-25,17,2
49,Dion,McGlynn,1980-05-30,1,1
50,Susan,Mosciski,1954-11-06,1,5
51,Barrett,Bergnaum,1957-08-22,1,2
52,Isobel,Dooley,1963-02-14,10,4
53,Debroah,Schroeder,1977-08-06,7,2
54,Dean,Collier,1978-06-25,14,2
55,Ophelia,Senger,1955-10-23,1,1
56,Steve,Hahn,1954-08-26,9,5
57,Bryce,Shields,1956-02-02,39,4
58,Scott,Hoppe,1984-05-02,61,1
59,Riley,Harvey,1984-09-20,62,1
60,Riley,Lockman,1957-11-08,63,4
61,Akilah,Bashirian,1979-06-29,1,1
62,Eugenio,Rohan,1980-09-01,38,2
63,Grace,Waelchi,1977-05-31,49,5
64,Jasmine,Cronin,1981-03-25,67,1
65,Jerrell,Walter,1957-12-18,39,1
66,Donald,Donnelly,1956-05-27,66,3
67,Paul,Fritsch,1970-08-12,1,1
68,Monte,Mante,1967-06-11,24,4
69,Willie,Hilpert,1964-10-22,3,4
70,Regina,Gutmann,1981-12-08,39,3
71,Drucilla,Herzog,1972-08-14,34,4
72,Ingeborg,Glover,1964-03-13,14,4
73,Sammie,Mertz,1959-10-31,1,1
74,Antone,Gulgowski,1975-02-17,63,4
75,Leisha,Walsh,1964-09-29,1,2
76,Maryland,Zemlak,1980-07-12,51,5
77,Enoch,Schuppe,1983-07-23,7,5
78,Neely,Batz,1958-04-23,19,4
79,Ouida,Reilly,1972-10-19,1,1
80,Tenisha,Crooks,1967-03-07,5,4
81,Aurelio,Ward,1973-12-04,43,3
82,Roberto,Howe,1971-08-13,51,1
83,Adelaide,Gerlach,1959-06-29,61,5
84,Bethann,Stamm,1961-09-19,47,3
85,Isidra,Abernathy,1958-09-20,1,1
86,Oren,Murazik,1984-05-21,6,5
87,Serita,Terry,1973-08-31,20,5
88,Edelmira,Harvey,1973-06-03,15,4
89,Lucia,Leannon,1976-10-11,63,4
90,Cory,Kutch,1980-06-19,21,5
91,Jere,Friesen,1965-08-09,1,1
92,Tuan,Haag,1959-07-17,40,3
93,Cecil,Volkman,1960-06-24,55,2
94,Emmaline,Yost,1955-01-25,63,5
95,Trinity,Upton,1958-03-09,28,3
96,Joycelyn,Grimes,1967-11-14,65,2
97,Noelle,Marks,1955-08-27,1,1
98,Latanya,Gulgowski,1967-03-20,60,2
99,Ethan,Marquardt,1974-01-05,3,2
100,Willetta,Hartmann,1983-06-10,53,6
101,Malcolm,Collier,1979-07-21,48,2
102,Tyson,Stark,1971-12-09,60,4
103,Arnold,McCullough,1961-06-08,1,1
104,Raphael,Shields,1971-01-07,24,1
105,Victor,Feest,1958-10-14,52,5
106,Noel,Mertz,1978-11-23,30,4
107,Darnell,VonRueden,1968-09-13,32,2
108,Kyle,Ebert,1955-09-07,34,4
109,Remedios,Pfeffer,1964-07-28,1,1
110,Willetta,Kovacek,1961-04-25,42,1
111,Marc,Hintz,1963-09-19,69,4
112,Nickolas,Friesen,1977-02-25,35,3
113,Kazuko,Kilback,1977-01-21,10,4
114,Palmer,Aufderhar,1973-09-21,67,6
115,Harlan,Prohaska,1974-11-19,1,1
116,Demetra,Marquardt,1969-10-11,58,4
117,Broderick,Gaylord,1966-03-08,23,1
118,Raphael,Parker,1958-09-23,50,3
119,Terisa,Kling,1957-01-11,15,2
120,Belle,Glover,1974-01-21,64,4
121,Hollie,Jakubowski,1971-01-01,2,1
122,Thad,Predovic,1973-06-11,18,4
123,Elliot,Powlowski,1959-06-26,50,4
124,Rupert,Corwin,1977-07-22,43,4
125,Alexandria,Hilll,1957-11-18,70,5
126,Steven,Rodriguez,1967-11-07,71,3
127,Johnathon,Erdman,1956-10-16,2,1
128,Bernice,Medhurst,1978-01-29,12,6
129,Karin,Lehner,1982-04-26,32,3
130,Hershel,Mertz,1963-06-26,6,4
131,Melisa,Considine,1977-05-27,65,2
132,Donte,Rohan,1958-08-23,18,5
133,Otto,Nicolas,1955-03-06,2,1
134,Vivien,Hessel,1969-07-12,53,5
135,Bernita,Romaguera,1971-02-22,47,3
136,Mafalda,Orn,1981-07-12,47,2
137,Lorrine,Waelchi,1967-04-09,24,4
138,Freddy,Marvin,1968-05-10,26,2
139,Travis,Jacobi,1963-06-29,2,1
140,Lester,Stanton,1960-02-10,6,5
141,Ronda,Grady,1982-06-16,39,4
142,Cecilia,Zulauf,1984-07-08,29,4
