idJoueur , FirstName , LastName , dob ,idCountry, idPosition
1,Prince,Farrell,2000-02-29,1,6
2,Craig,Nader,1988-04-11,1,4
3,Lanora,Smith,1990-09-12,1,4
4,Normand,Rogahn,2007-04-22,1,3
5,Evan,Gerlach,2001-01-24,1,5
6,Jed,O'Hara,2005-12-15,1,1
7,Ramiro,Lebsack,1992-07-05,1,5
8,Kaitlin,White,2000-05-05,1,2
9,Emanuel,Jerde,2005-06-15,1,2
10,Petronila,Olson,1988-07-06,1,4
11,Herb,Treutel,1989-08-20,1,5
12,Elidia,Hackett,2008-07-11,1,5
13,Herb,DuBuque,2008-01-20,1,4
14,Angeline,Rippin,2003-11-10,1,6
15,Kylee,Lind,1996-06-04,1,2
16,Ray,Zboncak,2003-02-27,1,3
17,Ayako,Leffler,1990-08-18,1,2
18,Holley,Parisian,2004-01-11,1,3
19,Frank,Swift,2000-07-18,1,3
20,Terrilyn,Moen,2001-12-13,1,4
21,Edra,Anderson,1995-08-10,1,5
22,Kelly,Wyman,2006-02-13,1,2
23,Dulcie,Balistreri,1995-09-03,1,4
24,Carrie,Runolfsdottir,1990-03-20,1,1
25,Alejandrina,Gulgowski,1985-09-01,1,4
26,Gregory,Abshire,1989-09-05,1,1
27,Leif,Orn,1996-11-24,1,5
28,Thomasina,Wolff,1990-07-12,1,6
29,Loris,Lemke,1989-01-19,1,5
30,Shanda,Casper,2005-09-04,1,2
31,Harlan,Wyman,1996-05-12,1,2
32,Jonathan,Johnson,1985-07-26,1,2
33,Darin,Batz,1989-11-14,1,4
34,Garnett,O'Keefe,1986-08-06,1,6
35,Johnie,Walter,1990-12-01,1,6
36,Buddy,Gerhold,1992-10-27,1,2
37,Isaias,Hartmann,1984-03-09,1,3
38,Gerry,Howell,2004-06-24,1,1
39,Emilio,Kulas,2003-06-26,1,4
40,Adan,Kessler,1991-12-27,1,1
41,Irwin,Klein,2000-11-19,1,1
42,Van,Rodriguez,1989-05-20,1,3
43,Tracie,Legros,2000-03-20,1,2
44,Roland,Hackett,1988-03-06,1,3
45,Christia,Fay,1996-03-16,1,2
46,Bernetta,Hills,1991-02-18,1,5
47,Mauricio,Stracke,1999-08-18,1,3
48,Rheba,Dibbert,2008-06-17,1,2
49,Tyler,Gleichner,2002-05-11,1,2
50,Virgilio,Kertzmann,1993-10-06,1,5
51,Elvira,MacGyver,1988-01-18,1,5
52,Nicky,Schiller,2005-06-19,1,4
53,Jeannine,Rau,1985-04-01,1,3
54,Celestine,Smith,1999-04-23,1,3
55,Desirae,Bauch,2000-02-16,1,2
56,Otha,Osinski,2003-02-21,1,2
57,Jerold,Carroll,1987-02-20,1,1
58,Cecily,Senger,2001-05-19,1,6
59,Amado,Steuber,1998-08-26,1,3
60,Jarvis,Howell,1990-05-29,1,5
61,Jayme,Parisian,1994-05-02,1,3
62,Kenna,Greenholt,1991-08-30,1,5
63,Ludivina,Crooks,1984-08-08,1,5
64,Lin,Kuvalis,1995-05-08,1,3
65,Refugio,Kutch,1990-07-03,1,4
66,Latosha,McClure,2001-07-16,1,4
